ID,Program Name,Link,Program Type,Project Name,Recipient Region (if applicable),MEA Award,Total Project Cost,Sector,Capacity,Capacity Units,Electricity Reduction (kWh),Technology,CO2 Emissions Reductions (metric tons),Date,Notes,Legislative District,Congressional District,County
RCEGP004606,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,63100,Residential,9,ton,,Geothermal,4.218885,05-04-2011 00:00,,,,
RCEGP004607,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,36075,Residential,9.62,kW,,Solar PV,5.71428,07/15/2014 12:00:00 AM,,,,
RCEGP004608,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,500,15100,Residential,54,sqft,,Solar Hot Water,1.44342,07/29/2013 12:00:00 AM,,,,
RCEGP004609,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3362.5,19599,Residential,3.15,kW,,Solar PV,1.8711,08-02-2010 00:00,,,,
RCEGP004610,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2500,10999,Residential,50.1,sqft,,Solar Hot Water,1.339173,07/17/2009 12:00:00 AM,,,,
RCEGP004611,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2500,30000,Residential,5,ton,,Geothermal,2.343825,04/23/2010 12:00:00 AM,,,,
RCEGP004612,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,27489,Residential,5.39,kW,,Solar PV,3.20166,05/31/2013 12:00:00 AM,,,,
RCEGP004613,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,21000,Residential,3,kW,,Solar PV,1.782,04/24/2014 12:00:00 AM,,,,
RCEGP004614,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,20963,Residential,5,ton,,Geothermal,2.343825,02/25/2013 12:00:00 AM,,,,
RCEGP004615,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,52607.1,Residential,9.87,kW,,Solar PV,5.86278,06-05-2013 00:00,,,,
RCEGP004616,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,5200,33558,Residential,4.2,kW,,Solar PV,2.4948,07/17/2009 12:00:00 AM,,,,
RCEGP004617,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,6250,36000,Residential,5.25,kW,,Solar PV,3.1185,06-10-2010 00:00,,,,
RCEGP004618,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,400,5000,Residential,31200,BTUs/hr,,Wood Burning Stove,,05-10-2013 00:00,,,,
RCEGP004619,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,29376,Residential,5.76,kW,,Solar PV,3.42144,05/20/2013 12:00:00 AM,,,,
RCEGP004620,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,40400,Residential,7.285,kW,,Solar PV,4.32729,01/19/2012 12:00:00 AM,,,,
RCEGP004621,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,40766.4,Residential,6.84,kW,,Solar PV,4.06296,04/26/2012 12:00:00 AM,,,,
RCEGP004622,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,4457,Residential,30000,BTUs/hr,,Wood Burning Stove,,04-07-2014 00:00,,,,
RCEGP004623,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3630,46827,Residential,7.26,kW,,Solar PV,4.31244,10/14/2011 12:00:00 AM,,,,
RCEGP004624,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,3000,14857.14,Residential,5,ton,,Geothermal,2.343825,05/28/2014 12:00:00 AM,,,,
RCEGP004625,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2500,15898,Residential,5,ton,,Geothermal,2.343825,06/15/2010 12:00:00 AM,,,,
RCEGP004626,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,1000,19624,Residential,4.41,kW,,Solar PV,2.61954,09-09-2013 00:00,,,,
RCEGP004627,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,700,4210,Residential,34400,BTUs/hr,,Wood Burning Stove,,08/22/2014 12:00:00 AM,,,,
RCEGP004628,Residential Clean Energy Grants,http://energy.maryland.gov/Residential/cleanenergygrants/,Grant,,,2000,32020,Residential,5,ton,,Geothermal,2.343825,04-11-2011 00:00,,,,
